PN                                                                                                  ; CFF  ; MATR ;SN                                                 ;UNIDADE   ;STATUS               ;PJ ;SN CJM                                             ;MATR ;DIRETIVA TÉCNICA                         ;CFF   ;FADT             ;NAT ;ORDEM      ;CLA ;CAT ;TIPO INCORPORAÇÃO ;PRAZO INCORPORAÇÃO ;TAREFA       ;HORAS     ;RESCISÃO            ;OBJETIVO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-A026 ;001JK ;LST227A090001100 ;BSC ;0 ;M ;I ;Repetitiva ; ;30400015329 ;0:00 ; ;INSPECIONAR VISUALMENTE OS BRAÇOS E GUINHÓIS DE CONTROLE DO LEME QUANTO AO DESLOCAMENTO DE SUAS RÓTULAS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-28-0006 ;001JK ;LST228A150009800 ;BSC ;0 ;R ;R ;One-Time ; ;30400017775 ;0:00 ; ;SUBSTITUIR AS BRAÇADEIRAS E CORDOALHAS DE METALIZAÇÃO POR OUTRAS QUE ATENDAM AOS REQUISITOS DE FIXAÇÃO E RESISTÊNCIA À TEMPERATURA DE OPERAÇÃO DO COMBUSTÍVEL.  ESPERA-SE COM ESTE BOLETIM GARANTIR A CORRETA FIXAÇÃO DAS BRAÇADEIRAS E EVITAR DANOS ÀS  CORDOALHAS SALVAGUARDANDO-SE ASSIM A METALIZAÇÃO DO SISTEMA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-28-0006 ;001JK ;LST228A150009800 ;BSC ;0 ;R ;R ;One-Time ; ;30400017813 ;0:00 ; ;SUBSTITUIR AS BRAÇADEIRAS E CORDOALHAS DE METALIZAÇÃO POR OUTRAS QUE ATENDAM AOS REQUISITOS DE FIXAÇÃO E RESISTÊNCIA À TEMPERATURA DE OPERAÇÃO DO COMBUSTÍVEL.  ESPERA-SE COM ESTE BOLETIM GARANTIR A CORRETA FIXAÇÃO DAS BRAÇADEIRAS E EVITAR DANOS ÀS  CORDOALHAS SALVAGUARDANDO-SE ASSIM A METALIZAÇÃO DO SISTEMA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-28-0008 ;001JK ;LST228A150009900 ;REV ;1 ;R ;R ;One-Time ; ;30400017776 ;3:00 ; ;APLICAR SELANTE EM TODA A REGIÃO DE INSTALAÇÃO DA BOMBA DE COMBUSTÍVEL, ONDE FOI ENCONTRADA A MENOR ESPESSURA DO REVESTIMENTO. ESPERA-SE COM ESTA DIRETIVA RECOMPOR O SISTEMA QUANTO À PROTEÇÃO CONTRA IMPACTO DE RAIOS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-28-0008 ;001JK ;LST228A150009900 ;REV ;1 ;R ;R ;One-Time ; ;30400017818 ;0:00 ; ;APLICAR SELANTE EM TODA A REGIÃO DE INSTALAÇÃO DA BOMBA DE COMBUSTÍVEL, ONDE FOI ENCONTRADA A MENOR ESPESSURA DO REVESTIMENTO. ESPERA-SE COM ESTA DIRETIVA RECOMPOR O SISTEMA QUANTO À PROTEÇÃO CONTRA IMPACTO DE RAIOS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-28-0018 ;001JK ;LST228A230001100 ;BSC ;0 ;M ;R ;One-Time ; ;30400021519 ;0:00 ; ;SUBSTITUIR OS TUBOS DA LINHA DE TRANSFERÊNCIA DE COMBUSTÍVEL DO TANQUE VENTRAL.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-32-0010 ;001JK ;LST232A080000101 ;BSC ;0 ;R ;R ;One-Time ; ;30400018935 ;4:00 ; ;REENCAMINHAMENTO DA CABLAGEM W410.  
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-32-0018 ;001JK ;LST232A240002700 ;BSC ;0 ;M ;I ;One-Time ; ;30400021717 ;0:00 ; ;INSPECIONAR VISUALMENTE O CONJUNTO DO GUINHOL PARA DETECTAR POSSÍVEIS SINAIS DE DESGASTE, DANOS OU TRINCAS ENTRE O ROLAMENTO E O ALOJAMENTO DO CONJUNTO DO GUINHOL. ESSA INSPEÇÃO DEVERÁ SER REPETIDA ATÉ QUE ESTE CONJUNTO SEJA SUBSTITUÍDO DE ACORDO COM A PARTE II DESTE BOLETIM.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-33-0002 ;001JK ;LST233A170007500 ;BSC ;0 ;O ;R ;One-Time ; ;30400018917 ;17:30 ; ;SUBSTITUIR OS CONJUNTOS DE LUZES DE NAVEGAÇÃO POR LEDS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-52-0002 ;001JK ;LST252A150011700 ;REV ;1 ;R ;R ;One-Time ; ;30400017793 ;1:00 ; ;SUBSTITUIÇÃO DA ARRUELA DE FRENO DO MECANISMO DE TRAVAMENTO DA CAPOTA POR UMA DE MAIOR EFICIÊNCIA DE FIXAÇÃO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-52-0003 ;001JK ;LST252A150010900 ;BSC ;0 ;M ;R ;One-Time ; ;30400017785 ;1:00 ; ;SUBSTITUIÇÃO DAS ARRUELAS DE FRENO DO MECANISMO DE TRAVAMENTO DA CAPOTA POR OUTRAS DE MAIOR EFICIÊNCIA DE FIXAÇÃO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-53-0001 ;001JK ;LST253A150011000 ;BSC ;0 ;R ;R ;One-Time ; ;30400017786 ;6:00 ; ;SUBSTITUIR A INSCRIÇÃO DE ORIENTAÇÃO PARA A ABERTURA DE EMERGÊNCIA DO CANOPI ATUAL POR OUTRA QUE ESTEJA DE ACORDO COM OS PROCEDIMENTOS DE SEGURANÇA DE OPERAÇÃO DA AERONAVE.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-53-0014 ;001JK ;LST253A080000300 ;BSC ;0 ;M ;R ;One-Time ; ;30400013929 ;7:00 ; ;SUBSTITUIR A PORTA DE TOMADA DE FORÇA EXISTENTE POR OUTRA QUE UTILIZA UM OUTRO SISTEMA DE ARTICULAÇÃO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-53-0024 ;001JK ;LST253A150011100 ;BSC ;0 ;R ;R ;One-Time ; ;30400017787 ;8:00 ; ;DAR INSTRUÇÕES PARA A SUBSTITUIÇÃO DO SUPORTE DO TUBO DE PRESSÃO DO SISTEMA DE COMBUSTÍVEL.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-53-0025 ;001JK ;LST253A170006600 ;BSC ;0 ;R ;R ;One-Time ; ;30400018897 ;0:11 ; ;INSTALAR CHAPAS NAS BASES DE APOIO DOS PÉS DO PILOTO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-53-0026 ;001JK ;LST253A190001900 ;REV ;1 ;R ;R ;One-Time ; ;30400020618 ;0:00 ; ;SUBSTITUIÇÃO DOS SUPORTES DO BLOCO INICIADOR INSTALADOS NA CAPOTA DA CABINE DE PILOTAGEM.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0012 ;001JK ;LST200A210002900 ;REV ;1 ;M ;U ;One-Time ; ;30400020972 ;22:00 ; ;INSPECIONAR VISUALMENTE A NERVURA RAIZ DA SUPERFÍCIE DO COMPENSADOR DOS PROFUNDORES QUANTO À EXISTÊNCIA DE TRNICAS E, SE NECESSÁRIOS, SUBSTITUIÍ-LA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0013 ;001JK ;LST255A260000100 ;BSC ;0 ;M ;R ;One-Time ; ;30400022074 ;0:00 ; ;ORIENTAR OPERADORES SOBRE OS PROCEDIMENTOS DE INSPEÇÃO E, SE NECESSÁRIO,O REPARO DA ESTRUTURA DAS FERRAGENS-BATENTE DO PROFUNDOR E A INSTALAÇÃO DOS PARAFUSOS DO BALANCIM NA DIREÇÃO CORRETA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0013 ;001JK ;LST255A260000100 ;BSC ;0 ;M ;R ;One-Time ; ;30400022075 ;0:00 ; ;ORIENTAR OPERADORES SOBRE OS PROCEDIMENTOS DE INSPEÇÃO E, SE NECESSÁRIO,O REPARO DA ESTRUTURA DAS FERRAGENS-BATENTE DO PROFUNDOR E A INSTALAÇÃO DOS PARAFUSOS DO BALANCIM NA DIREÇÃO CORRETA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0013 ;001JK ;LST255A260000100 ;BSC ;0 ;M ;R ;One-Time ; ;30400022076 ;0:00 ; ;ORIENTAR OPERADORES SOBRE OS PROCEDIMENTOS DE INSPEÇÃO E, SE NECESSÁRIO,O REPARO DA ESTRUTURA DAS FERRAGENS-BATENTE DO PROFUNDOR E A INSTALAÇÃO DOS PARAFUSOS DO BALANCIM NA DIREÇÃO CORRETA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0013 ;001JK ;LST255A260000100 ;BSC ;0 ;M ;R ;One-Time ; ;30400022077 ;0:00 ; ;ORIENTAR OPERADORES SOBRE OS PROCEDIMENTOS DE INSPEÇÃO E, SE NECESSÁRIO,O REPARO DA ESTRUTURA DAS FERRAGENS-BATENTE DO PROFUNDOR E A INSTALAÇÃO DOS PARAFUSOS DO BALANCIM NA DIREÇÃO CORRETA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0013 ;001JK ;LST255A260000100 ;BSC ;0 ;M ;R ;One-Time ; ;30400022078 ;0:00 ; ;ORIENTAR OPERADORES SOBRE OS PROCEDIMENTOS DE INSPEÇÃO E, SE NECESSÁRIO,O REPARO DA ESTRUTURA DAS FERRAGENS-BATENTE DO PROFUNDOR E A INSTALAÇÃO DOS PARAFUSOS DO BALANCIM NA DIREÇÃO CORRETA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-0013 ;001JK ;LST255A260000100 ;BSC ;0 ;M ;R ;One-Time ; ;30400022079 ;0:00 ; ;ORIENTAR OPERADORES SOBRE OS PROCEDIMENTOS DE INSPEÇÃO E, SE NECESSÁRIO,O REPARO DA ESTRUTURA DAS FERRAGENS-BATENTE DO PROFUNDOR E A INSTALAÇÃO DOS PARAFUSOS DO BALANCIM NA DIREÇÃO CORRETA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-55-A003 ;001JK ;LST255A090001900 ;REV ;2 ;M ;U ;Repetitiva ; ;30400015612 ;0:00 ; ;INSPECIONAR VISUALMENTE, UTILIZANDO LUPA ( 8 A 10X ), O PERFIL L E ANERVURA DA RAIZ QUANTO À EXISTÊNCIA DE TRINCAS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-57-0005 ;001JK ;LST257A150011600 ;BSC ;0 ;R ;R ;One-Time ; ;30400017791 ;2:00 ; ;CRAVAÇÃO NA LONGARINA 70% ENTRE AS NERVURAS 7 E 8
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-57-0007 ;001JK ;LST200S130001400 ;BSC ;0 ;R ;R ;One-Time ; ;30400017050 ;7:00 ; ;SUBSTITUIR OS MEIOS DE FIXAÇÃO DO BORDO DE ATAQUE DE PARAFUSO E PORCA-FLANGE POR PINO E RECEPTÁCULO LIVELOCK.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-57-0009 ;001JK ;LST200A230002700 ;REV ;3 ;R ;R ;One-Time ; ;30400021631 ;0:00 ; ;SUBSTITUIR AS FERRAGENS DA SUPERFÍCIE DE COMANDO DO AILERON PARA CORREÇÃO DA INTERCAMBIABILIDADE.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-76-0004 ;001JK ;LST276A220006400 ;REV ;1 ;M ;R ;One-Time ; ;30400021429 ;0:00 ; ;UTILIZAR OUTRO MICRO INTERRUPTOR JÁ INSTALADO E REFAZER AS INTERLIGAÇÕES ELÉTRICAS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-95-0001 ;001JK ;LST295A130001800 ;REV ;2 ;R ;R ;One-Time ; ;30400017091 ;2:00 ; ;MONTAR OS CABOS DE AÇO COM FOLGA NAS DUAS EXTREMIDADES (INICIADOR E CARRETÉIS) E REQUERER A UTILIZAÇÃO DO PINO DE SEGURANÇA DURANTE AS TAREFAS DE MANUTENÇÃO DA AERONAVE.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-21-0007 ;B768$ ;LST221A240003500 ;REV ;2 ;M ;R ;One-Time ; ;30400021770 ;0:00 ; ;SUBSTITUIR O DUTO FLEXÍVEL DO SISTEMA DE VENTILAÇÃO DE EMERGÊNCIA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-21-0007 ;B768$ ;LST221A240003500 ;REV ;2 ;M ;R ;One-Time ; ;30400021771 ;0:00 ; ;SUBSTITUIR O DUTO FLEXÍVEL DO SISTEMA DE VENTILAÇÃO DE EMERGÊNCIA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-21-0009 ;B768$ ;LST221A240001200 ;REV ;1 ;M ;R ;One-Time ; ;30400021679 ;0:00 ; ;ORIENTAR OPERADOR SOBRE A SUBSTITUIÇÃO DOS CABOS DIANTEIROS E TRASEIROS DO SISTEMA DE VENTILAÇÃO DE EMERGÊNCIA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-21-0010 ;001JK ;LST221A240003600 ;REV ;1 ;R ;R ;One-Time ; ;30400021772 ;0:00 ; ;FORNECER INSTRUÇÕES NECESSÁRIAS PARA A INSTALAÇÃO DOS NOVOS PONTOS DE FIXAÇÃO DO DUTO FLEXÍVEL DO SISTEMA DE VENTILAÇÃO DE EMERGÊNCIA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-27-0047 ;001JK ;LST227A240003700 ;REV ;1 ;M ;R ;One-Time ; ;30400021775 ;0:00 ; ;INSPECIONAR A HASTE DE CONEXÃO DO AILERON QUANTO A DANOS E/OU DESGASTES E, SE NECESSÁRIO, SUBSTITUÍ-LA OU RETRABALHÁ-LA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-27-0047 ;001JK ;LST227A240003700 ;REV ;1 ;M ;R ;One-Time ; ;30400021773 ;0:00 ; ;INSPECIONAR A HASTE DE CONEXÃO DO AILERON QUANTO A DANOS E/OU DESGASTES E, SE NECESSÁRIO, SUBSTITUÍ-LA OU RETRABALHÁ-LA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-27-0047 ;001JK ;LST227A240003700 ;REV ;1 ;M ;R ;One-Time ; ;30400021774 ;0:00 ; ;INSPECIONAR A HASTE DE CONEXÃO DO AILERON QUANTO A DANOS E/OU DESGASTES E, SE NECESSÁRIO, SUBSTITUÍ-LA OU RETRABALHÁ-LA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-28-0025 ;001JK ;LST228A160006700 ;BSC ;0 ;R ;R ;One-Time ; ;30400018068 ;16:00 ; ;SUBSTITUIÇÃO DE TUBOS DE REABASTECIMENTO/DESTANQUEIO DO SSITEMA DE COMBUSTIVEL POR OUTROS DE NOVA GEOMETRIA
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-28-0029 ;B768$ ;LST200A220004700 ;REV ;1 ;M ;U ;One-Time ; ;30400021349 ;8:30 ; ;MODIFICAR O SISTEMA DE TRANFERÊNCIA DE COMBUSTÍVEL PARA EVITAR SOBREPRESSÃO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-29-0003 ;001JK ;LST229A200005900 ;REV ;1 ;M ;U ;One-Time ; ;30400020617 ;17:30 ; ;INSPECIONAR O TUBO HIDRÁULICO INSTALADO NA REGIÃO DO CAIXÃO ENTRAL, QUE PODE RESULTAR EM VAZAMENTO DE FLUIDO HIDRÁULICO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-29-0004 ;B768$ ;LST229A200000500 ;BSC ;0 ;M ;U ;One-Time ; ;30400020346 ;0:00 ; ;SUBSTITUIR O TUBO HIDRÁULICO DE REABASTECIMENTO E ALTERAR SUA ROTA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-32-0020 ;001JK ;LST232A250001300 ;REV ;2 ;M ;R ;One-Time ; ;30400021859 ;0:00 ; ;ORIENTAR OPERADORES QUANTO A EXECUÇÃO DE UM REPARO ESPECIAL NOS DIÂMETROS DOS MANCAIS INFERIORES E SUPERIORES DO CILINDRO DO TREM DE POUSO DE NARIZ COM O OBJETIVO DE REMOVER SINAIS DE DANOS E/OU CORROSÃO NESTA REGIÃO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-32-0027 ;001JK ;LST232A240002400 ;BSC ;0 ;R ;R ;One-Time ; ;30400021711 ;0:00 ; ;ORIENTAR O OPERADOR SOBRE A REMOÇÃO O CABO DO DESCARREGADOR DE ESTÁTICA DO TREM DE POUSO DO NARIZ.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-32-0028 ;001JK ;LST232A250004700 ;BSC ;0 ;M ;R ;One-Time ; ;30400022007 ;0:00 ; ;ORIENTAR OPERADOR QUANTO À INSPEÇÃO DA HASTE DE TRAVAMENTO SECUNDÁRIA DO TREM DE POUSO DE NARIZ E, SE NECESSÁRIO, A INSTALAÇÃO DO ARAME DE FRENO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-34-0005 ;001JK ;LST234A250003200 ;REV ;1 ;R ;R ;One-Time ; ;30400021916 ;0:00 ; ;FORNECER AO OPERADOR INSTRUÇÕES NECESSÁRIAS PARA A REMOÇÃO DO INDICADOR DE ATITUDE DE EMERGÊNCIA.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-55-0009 ;001JK ;LST207A190002500 ;BSC ;0 ;R ;R ;One-Time ; ;30400020139 ;0:00 ; ;SUBSTITUIR A NERVURA 3 (ZV=630) DO ESTABILIZADOR VERTICAL E INSTALAR REFORÇOS ESTRUTURAIS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS314-55-0010 ;001JK ;LST255A190000800 ;BSC ;0 ;M ;R ;One-Time ; ;30400019103 ;0:00 ; ;O PRESENTE BOLETIM TÉCNICO DESCREVE OS PROCEDIMENTOS PARA SUBSTITUIÇÃO DA NERVURA ZV=1432 DO ESTABILIZADOR VERTICAL
